省,市,订单行数,数量合计,GMV合计,GMV占比,数量占比
河北省,石家庄市,198,391.0,6515.4785,0.57,0.59
陕西省,咸阳市,186,368.0,6331.8982,0.56,0.56
浙江省,台州市,172,358.0,6145.0803,0.54,0.54
辽宁省,鞍山市,192,379.0,5986.1647,0.53,0.57
河北省,廊坊市,175,312.0,5262.87,0.46,0.47
云南省,昆明市,147,288.0,5197.2369,0.46,0.43
广东省,湛江市,129,290.0,4939.5808,0.44,0.44
江西省,南昌市,160,284.0,4837.8482,0.43,0.43
江苏省,盐城市,149,265.0,4688.1068000000005,0.41,0.4
广东省,汕头市,150,271.0,4581.8141,0.4,0.41
浙江省,绍兴市,144,250.0,4519.4978,0.4,0.38
山东省,烟台市,137,252.0,4417.3622000000005,0.39,0.38
江苏省,镇江市,127,282.0,4399.3897,0.39,0.43
河北省,保定市,144,261.0,4346.2198,0.38,0.39
广东省,江门市,144,247.0,4336.2832,0.38,0.37
江苏省,泰州市,128,248.0,4299.867,0.38,0.37
山东省,潍坊市,122,246.0,4261.7682,0.38,0.37
广西壮族自治区,崇左市,42,222.0,4133.2774,0.36,0.34
广西壮族自治区,桂林市,99,213.0,3890.2514,0.34,0.32
江苏省,徐州市,137,215.0,3826.0867,0.34,0.32
江西省,赣州市,99,192.0,3617.3898,0.32,0.29
河南省,洛阳市,101,213.0,3542.9556000000002,0.31,0.32
河北省,沧州市,126,205.0,3511.4279,0.31,0.31
山东省,临沂市,121,206.0,3460.4251,0.3,0.31
海南省,三亚市,81,198.0,3365.1188,0.3,0.3
贵州省,贵阳市,108,195.0,3354.52,0.3,0.29
江苏省,扬州市,97,199.0,3317.6571,0.29,0.3
辽宁省,抚顺市,104,210.0,3286.6828,0.29,0.32
四川省,宜宾市,96,181.0,3122.5501,0.28,0.27
河北省,秦皇岛市,93,180.0,3027.6827,0.27,0.27
安徽省,阜阳市,99,171.0,3006.1435,0.26,0.26
广西壮族自治区,柳州市,68,163.0,2986.3396,0.26,0.25
山东省,济宁市,91,167.0,2938.4857,0.26,0.25
海南省,海口市,98,177.0,2929.637,0.26,0.27
河北省,邯郸市,99,177.0,2921.8651,0.26,0.27
湖北省,黄冈市,71,176.0,2875.6443,0.25,0.27
江苏省,淮安市,83,170.0,2831.4504,0.25,0.26
河南省,南阳市,91,161.0,2829.9584,0.25,0.24
四川省,德阳市,85,165.0,2820.2304,0.25,0.25
四川省,眉山市,78,165.0,2777.2011,0.24,0.25
湖北省,荆州市,68,158.0,2736.5301,0.24,0.24
福建省,漳州市,83,151.0,2673.735,0.24,0.23
湖北省,宜昌市,81,144.0,2660.1395,0.23,0.22
江西省,上饶市,69,144.0,2648.1702,0.23,0.22
福建省,宁德市,53,156.0,2626.7404,0.23,0.24
河南省,信阳市,75,149.0,2583.7312,0.23,0.22
海南省,省直辖县级行政区划,78,163.0,2581.3704000000002,0.23,0.25
广东省,揭阳市,85,146.0,2534.4881,0.22,0.22
辽宁省,阜新市,76,143.0,2527.7001,0.22,0.22
四川省,绵阳市,86,155.0,2524.2207,0.22,0.23
安徽省,蚌埠市,70,140.0,2522.4505,0.22,0.21
湖北省,咸宁市,57,137.0,2499.2869,0.22,0.21
贵州省,遵义市,62,143.0,2470.7544,0.22,0.22
安徽省,亳州市,66,136.0,2465.4291,0.22,0.21
安徽省,六安市,72,139.0,2462.8484,0.22,0.21
安徽省,芜湖市,74,139.0,2454.02,0.22,0.21
辽宁省,朝阳市,71,145.0,2392.28,0.21,0.22
安徽省,滁州市,74,135.0,2384.788,0.21,0.2
安徽省,淮南市,69,137.0,2311.2099,0.2,0.21
广东省,茂名市,87,129.0,2310.6933,0.2,0.19
河南省,商丘市,73,134.0,2292.9664000000002,0.2,0.2
山东省,菏泽市,83,126.0,2292.4594,0.2,0.19
广东省,肇庆市,72,125.0,2241.0113,0.2,0.19
四川省,泸州市,67,129.0,2239.8334,0.2,0.19
江西省,九江市,64,135.0,2228.8112,0.2,0.2
河北省,张家口市,68,133.0,2213.1299,0.19,0.2
山西省,大同市,64,138.0,2211.8305,0.19,0.21
广西壮族自治区,北海市,60,132.0,2209.7001,0.19,0.2
湖北省,孝感市,66,129.0,2200.9702,0.19,0.19
内蒙古自治区,呼伦贝尔市,40,143.0,2195.5524,0.19,0.22
江苏省,宿迁市,74,125.0,2185.4826,0.19,0.19
吉林省,吉林市,71,126.0,2158.2293,0.19,0.19
广东省,清远市,70,126.0,2132.58,0.19,0.19
山东省,日照市,43,121.0,2124.6501,0.19,0.18
辽宁省,辽阳市,77,134.0,2112.3987,0.19,0.2
四川省,达州市,58,120.0,2102.8784,0.19,0.18
江苏省,连云港市,65,120.0,2098.7888,0.18,0.18
甘肃省,兰州市,59,121.0,2060.8211,0.18,0.18
四川省,凉山彝族自治州,53,116.0,2055.8283,0.18,0.18
辽宁省,锦州市,66,108.0,2017.5378,0.18,0.16
四川省,乐山市,64,127.0,1985.5263,0.17,0.19
河南省,驻马店市,61,116.0,1985.451,0.17,0.18
安徽省,宿州市,64,114.0,1979.64,0.17,0.17
河北省,邢台市,54,117.0,1947.7083,0.17,0.18
福建省,莆田市,58,106.0,1942.9403,0.17,0.16
山东省,威海市,57,111.0,1936.8788,0.17,0.17
安徽省,宣城市,53,114.0,1918.522,0.17,0.17
贵州省,黔西南布依族苗族自治州,30,118.0,1907.1922,0.17,0.18
辽宁省,铁岭市,57,115.0,1893.8288,0.17,0.17
陕西省,安康市,21,100.0,1867.9585,0.16,0.15
湖北省,黄石市,40,103.0,1859.1008,0.16,0.16
山东省,淄博市,66,104.0,1841.2638,0.16,0.16
河南省,周口市,68,104.0,1812.298,0.16,0.16
江西省,宜春市,52,107.0,1807.3077,0.16,0.16
湖北省,襄阳市,65,100.0,1798.3451,0.16,0.15
湖北省,十堰市,41,108.0,1769.4881,0.16,0.16
湖南省,常德市,41,97.0,1750.846,0.15,0.15
河南省,焦作市,50,99.0,1745.3702,0.15,0.15
辽宁省,营口市,58,102.0,1719.0104000000001,0.15,0.15
广东省,韶关市,48,92.0,1679.2499,0.15,0.14
山东省,德州市,58,101.0,1654.5825,0.15,0.15
四川省,遂宁市,46,95.0,1654.2985,0.15,0.14
辽宁省,葫芦岛市,54,109.0,1645.1211,0.14,0.16
贵州省,铜仁市,45,90.0,1639.9,0.14,0.14
湖南省,邵阳市,44,90.0,1626.7095,0.14,0.14
云南省,西双版纳傣族自治州,26,86.0,1623.3299,0.14,0.13
福建省,龙岩市,49,95.0,1619.2401,0.14,0.14
甘肃省,天水市,28,95.0,1583.5712,0.14,0.14
四川省,南充市,53,93.0,1574.7553,0.14,0.14
浙江省,丽水市,45,88.0,1566.9493,0.14,0.13
河南省,开封市,53,89.0,1559.94,0.14,0.13
福建省,三明市,34,81.0,1533.608,0.14,0.12
湖北省,荆门市,49,92.0,1514.7196999999999,0.13,0.14
陕西省,榆林市,37,96.0,1499.3313,0.13,0.14
山东省,滨州市,52,87.0,1499.1651,0.13,0.13
湖北省,恩施土家族苗族自治州,47,82.0,1491.6601,0.13,0.12
黑龙江省,大庆市,48,91.0,1483.9958,0.13,0.14
广西壮族自治区,玉林市,49,87.0,1479.76,0.13,0.13
贵州省,毕节市,34,88.0,1467.5585,0.13,0.13
广东省,河源市,37,87.0,1454.5593,0.13,0.13
辽宁省,丹东市,46,82.0,1439.3801,0.13,0.12
