数据月份,省,市,区县,订单行数,数量合计,GMV合计
2月,上海,上海市,青浦区,2,4.0,27.875
2月,北京,北京市,海淀区,2,3.0,27.5659
2月,广东省,潮州市,潮安区,2,4.0,27.2519
2月,江苏省,宿迁市,宿豫区,2,3.0,27.1676
2月,湖北省,武汉市,江夏区,2,3.0,26.931399999999996
2月,上海,上海市,虹口区,1,3.0,26.9001
2月,宁夏回族自治区,银川市,贺兰县,1,3.0,26.9001
2月,山东省,德州市,夏津县,1,3.0,26.9001
2月,山东省,泰安市,泰山区,1,3.0,26.9001
2月,山东省,临沂市,兰陵县,2,4.0,26.8902
2月,湖南省,永州市,江永县,2,4.0,26.6521
2月,安徽省,池州市,东至县,2,3.0,26.3904
2月,安徽省,芜湖市,南陵县,2,3.0,26.2424
2月,山东省,烟台市,蓬莱区,2,3.0,26.2424
2月,福建省,莆田市,仙游县,1,3.0,25.8999
2月,浙江省,嘉兴市,秀洲区,1,3.0,25.6401
2月,河南省,洛阳市,洛龙区,2,3.0,25.6304
2月,湖北省,咸宁市,咸安区,2,3.0,25.3004
2月,安徽省,亳州市,涡阳县,2,3.0,25.1518
2月,河南省,周口市,川汇区,2,3.0,24.8741
2月,吉林省,延边朝鲜族自治州,敦化市,1,3.0,24.6099
2月,江苏省,淮安市,清江浦区,3,3.0,24.4443
2月,河南省,郑州市,中原区,2,3.0,23.8494
2月,广东省,东莞市,樟木头镇,1,3.0,23.7306
2月,广西壮族自治区,北海市,银海区,1,3.0,23.7306
2月,广西壮族自治区,贵港市,港北区,1,3.0,23.7306
2月,广西壮族自治区,钦州市,钦北区,1,3.0,23.7306
2月,江苏省,南通市,崇川区,1,3.0,23.7306
2月,江苏省,连云港市,灌南县,1,3.0,23.7306
2月,河北省,沧州市,沧县,1,3.0,23.7306
2月,湖北省,黄冈市,黄梅县,1,3.0,23.7306
2月,湖南省,岳阳市,汨罗市,1,3.0,23.7306
2月,福建省,漳州市,龙海区,1,3.0,23.7306
2月,安徽省,合肥市,包河区,2,3.0,22.6794
2月,河南省,周口市,郸城县,2,3.0,22.653
2月,浙江省,杭州市,西湖区,2,3.0,22.6504
2月,湖南省,益阳市,沅江市,1,3.0,22.5474
2月,陕西省,西安市,未央区,3,3.0,22.534
2月,辽宁省,大连市,金州区,2,3.0,22.2062
2月,河南省,信阳市,罗山县,2,2.0,22.112000000000002
2月,广东省,深圳市,罗湖区,1,3.0,22.02
2月,广东省,广州市,花都区,2,3.0,21.965600000000002
2月,安徽省,宿州市,埇桥区,1,2.0,21.59
2月,山东省,临沂市,临沭县,1,2.0,21.59
2月,河北省,保定市,竞秀区,1,3.0,21.24
2月,安徽省,阜阳市,太和县,3,3.0,20.972
2月,河北省,保定市,涿州市,2,3.0,20.709699999999998
2月,陕西省,延安市,宝塔区,2,3.0,20.6436
2月,安徽省,蚌埠市,蚌山区,1,3.0,20.1741
2月,山东省,淄博市,张店区,2,2.0,20.022
2月,江苏省,南京市,浦口区,2,2.0,20.022
2月,海南省,海口市,秀英区,2,2.0,20.022
2月,陕西省,安康市,白河县,2,2.0,20.022
2月,浙江省,杭州市,上城区,2,2.0,19.62
2月,辽宁省,锦州市,凌河区,2,2.0,19.62
2月,江苏省,淮安市,淮阴区,1,3.0,19.4604
2月,吉林省,长春市,宽城区,2,2.0,19.1098
2月,重庆,重庆市,璧山区,1,3.0,18.9843
2月,内蒙古自治区,呼伦贝尔市,牙克石市,1,2.0,18.9
2月,山东省,济宁市,邹城市,1,2.0,18.9
2月,江苏省,南京市,鼓楼区,1,2.0,18.9
2月,河北省,张家口市,涿鹿县,1,2.0,18.9
2月,河北省,承德市,兴隆县,1,2.0,18.9
2月,河南省,南阳市,南召县,1,2.0,18.9
2月,湖北省,襄阳市,襄州区,1,2.0,18.9
2月,贵州省,遵义市,正安县,1,2.0,18.9
2月,辽宁省,沈阳市,沈北新区,1,2.0,18.9
2月,辽宁省,鞍山市,铁西区,1,2.0,18.9
2月,黑龙江省,哈尔滨市,五常市,1,2.0,18.9
2月,黑龙江省,鸡西市,虎林市,1,2.0,18.9
2月,浙江省,台州市,黄岩区,1,3.0,18.753
2月,湖北省,荆州市,荆州区,1,3.0,18.753
2月,湖北省,随州市,广水市,1,3.0,18.753
2月,湖南省,衡阳市,祁东县,1,3.0,18.753
2月,福建省,漳州市,芗城区,1,3.0,18.753
2月,福建省,福州市,仓山区,1,3.0,18.753
2月,甘肃省,定西市,安定区,2,2.0,18.7463
2月,湖南省,衡阳市,石鼓区,2,2.0,18.244
2月,湖南省,长沙市,开福区,2,2.0,18.244
2月,福建省,泉州市,晋江市,2,2.0,18.244
2月,山东省,淄博市,周村区,1,3.0,18.1299
2月,海南省,省直辖县级行政区划,屯昌县,1,3.0,18.1299
2月,四川省,雅安市,汉源县,1,2.0,17.92
2月,云南省,红河哈尼族彝族自治州,弥勒市,1,3.0,17.8011
2月,山东省,东营市,广饶县,1,3.0,17.8011
2月,江西省,上饶市,鄱阳县,1,3.0,17.8011
2月,江西省,赣州市,会昌县,1,3.0,17.8011
2月,黑龙江省,双鸭山市,尖山区,1,3.0,17.8011
2月,江苏省,苏州市,虎丘区,2,2.0,17.7879
2月,湖北省,宜昌市,西陵区,2,2.0,17.3014
2月,内蒙古自治区,赤峰市,翁牛特旗,1,2.0,17.1204
2月,北京,北京市,通州区,1,2.0,17.1204
2月,四川省,成都市,青羊区,1,2.0,17.1204
2月,天津,天津市,红桥区,1,2.0,17.1204
2月,宁夏回族自治区,石嘴山市,大武口区,1,2.0,17.1204
2月,安徽省,六安市,金安区,1,2.0,17.1204
2月,安徽省,合肥市,蜀山区,1,2.0,17.1204
2月,山东省,潍坊市,寿光市,1,2.0,17.1204
2月,广东省,中山市,南朗镇,1,2.0,17.1204
2月,广东省,深圳市,光明区,1,2.0,17.1204
2月,广西壮族自治区,贺州市,钟山县,1,2.0,17.1204
2月,江苏省,南京市,栖霞区,1,2.0,17.1204
2月,河南省,周口市,项城市,1,2.0,17.1204
2月,河南省,驻马店市,新蔡县,1,2.0,17.1204
2月,海南省,省直辖县级行政区划,儋州市,1,2.0,17.1204
2月,湖南省,益阳市,赫山区,1,2.0,17.1204
2月,湖南省,长沙市,岳麓区,1,2.0,17.1204
2月,甘肃省,平凉市,华亭市,1,2.0,17.1204
2月,福建省,泉州市,惠安县,1,2.0,17.1204
2月,贵州省,黔东南苗族侗族自治州,岑巩县,1,2.0,17.1204
2月,上海,上海市,金山区,1,2.0,17.01
2月,广东省,佛山市,三水区,1,2.0,17.0014
2月,北京,北京市,大兴区,2,2.0,16.875700000000002
2月,天津,天津市,津南区,2,2.0,16.875700000000002
2月,山东省,青岛市,黄岛区,2,2.0,16.875700000000002
2月,山西省,吕梁市,交口县,1,3.0,16.6113
2月,广东省,中山市,西区街道,1,2.0,16.2676
2月,广东省,中山市,小榄镇,2,2.0,16.261
2月,山西省,太原市,小店区,2,2.0,15.9635
2月,河南省,郑州市,二七区,2,2.0,15.9635
2月,江苏省,苏州市,工业园区,1,2.0,15.9
2月,贵州省,黔东南苗族侗族自治州,黄平县,1,2.0,15.9
2月,江西省,上饶市,万年县,1,2.0,15.7984
2月,江西省,九江市,湖口县,1,2.0,15.4084
2月,湖南省,长沙市,雨花区,2,2.0,15.1439
2月,福建省,宁德市,福安市,1,2.0,15.1372
2月,湖北省,咸宁市,赤壁市,1,2.0,15.12
2月,山东省,菏泽市,牡丹区,2,2.0,14.9389
2月,安徽省,亳州市,利辛县,1,2.0,14.75
2月,河南省,郑州市,金水区,2,2.0,14.5952
2月,广东省,东莞市,虎门镇,1,2.0,14.5556
2月,河南省,郑州市,巩义市,1,2.0,14.18
2月,安徽省,宿州市,砀山县,2,2.0,14.1391
2月,吉林省,吉林市,船营区,1,2.0,13.8682
2月,广西壮族自治区,玉林市,玉州区,1,2.0,13.8152
2月,浙江省,杭州市,钱塘区,2,2.0,13.7822
2月,江苏省,徐州市,泉山区,1,2.0,13.6962
2月,江西省,九江市,德安县,1,2.0,13.6962
2月,江西省,鹰潭市,余江区,1,2.0,13.6962
2月,河北省,邢台市,宁晋县,1,2.0,13.6962
2月,甘肃省,兰州市,皋兰县,2,2.0,13.683
2月,河南省,许昌市,禹州市,1,3.0,13.6701
2月,江苏省,宿迁市,泗洪县,1,2.0,13.531
2月,浙江省,温州市,瓯海区,1,2.0,13.531
2月,辽宁省,沈阳市,于洪区,1,2.0,13.531
2月,湖南省,永州市,冷水滩区,1,2.0,13.3592
2月,河南省,南阳市,镇平县,1,2.0,13.3526
2月,安徽省,淮北市,濉溪县,1,2.0,13.1872
2月,浙江省,丽水市,莲都区,2,2.0,13.1117
2月,江西省,赣州市,兴国县,1,2.0,12.9
2月,四川省,达州市,大竹县,1,2.0,12.8436
2月,广东省,肇庆市,德庆县,1,2.0,12.8436
2月,江西省,抚州市,临川区,1,2.0,12.8436
2月,江西省,赣州市,于都县,1,2.0,12.8436
2月,安徽省,六安市,金寨县,1,3.0,12.6651
2月,湖南省,娄底市,娄星区,1,2.0,11.9842
2月,上海,上海市,徐汇区,1,1.0,10.9
2月,四川省,达州市,万源市,1,1.0,10.9
2月,安徽省,宣城市,郎溪县,1,1.0,10.9
2月,安徽省,淮南市,大通区,1,1.0,10.9
2月,山东省,淄博市,桓台县,1,1.0,10.9
2月,山东省,烟台市,莱州市,1,1.0,10.9
2月,山东省,青岛市,李沧区,1,1.0,10.9
2月,山东省,青岛市,胶州市,1,1.0,10.9
2月,山西省,太原市,万柏林区,1,1.0,10.9
2月,广东省,清远市,阳山县,1,1.0,10.9
2月,江苏省,南京市,建邺区,1,1.0,10.9
2月,江苏省,盐城市,建湖县,1,1.0,10.9
2月,江苏省,镇江市,扬中市,1,1.0,10.9
2月,江西省,九江市,瑞昌市,1,1.0,10.9
2月,江西省,宜春市,铜鼓县,1,1.0,10.9
2月,河北省,保定市,蠡县,1,1.0,10.9
2月,河北省,邢台市,南宫市,1,1.0,10.9
2月,河南省,周口市,淮阳区,1,1.0,10.9
2月,河南省,驻马店市,汝南县,1,1.0,10.9
2月,浙江省,宁波市,余姚市,1,1.0,10.9
2月,浙江省,宁波市,宁海县,1,1.0,10.9
2月,浙江省,宁波市,镇海区,1,1.0,10.9
2月,海南省,儋州市,白马井镇,1,1.0,10.9
2月,湖南省,常德市,武陵区,1,1.0,10.9
2月,湖南省,邵阳市,邵阳县,1,1.0,10.9
2月,辽宁省,大连市,大连开发区,1,1.0,10.9
2月,陕西省,宝鸡市,凤翔区,1,1.0,10.9
2月,陕西省,西安市,高陵区,1,1.0,10.9
2月,黑龙江省,哈尔滨市,宾县,1,1.0,10.9
2月,吉林省,长春市,经济技术开发区,1,1.0,10.36
2月,河北省,衡水市,深州市,1,1.0,10.36
2月,北京,北京市,朝阳区,1,1.0,9.81
2月,浙江省,杭州市,江干区,1,1.0,9.81
2月,广东省,东莞市,长安镇,1,1.0,9.6
2月,甘肃省,武威市,天祝藏族自治县,1,1.0,9.6
2月,江苏省,南通市,海安市,1,1.0,9.49
2月,河北省,石家庄市,无极县,1,1.0,9.27
2月,湖南省,娄底市,涟源市,1,1.0,9.27
2月,上海,上海市,奉贤区,1,1.0,9.122
2月,上海,上海市,杨浦区,1,1.0,9.122
2月,云南省,临沧市,临翔区,1,1.0,9.122
2月,云南省,大理白族自治州,云龙县,1,1.0,9.122
2月,内蒙古自治区,乌海市,海勃湾区,1,1.0,9.122
2月,内蒙古自治区,呼和浩特市,玉泉区,1,1.0,9.122
2月,北京,北京市,顺义区,1,1.0,9.122
2月,吉林省,长春市,农安县,1,1.0,9.122
2月,四川省,凉山彝族自治州,越西县,1,1.0,9.122
2月,四川省,宜宾市,翠屏区,1,1.0,9.122
2月,四川省,成都市,龙泉驿区,1,1.0,9.122
2月,四川省,眉山市,仁寿县,1,1.0,9.122
2月,安徽省,安庆市,宿松县,1,1.0,9.122
2月,安徽省,淮南市,田家庵区,1,1.0,9.122
2月,安徽省,芜湖市,其他区,1,1.0,9.122
2月,安徽省,蚌埠市,怀远县,1,1.0,9.122
2月,安徽省,阜阳市,颍泉区,1,1.0,9.122
2月,山东省,临沂市,莒南县,1,1.0,9.122
2月,山东省,济南市,市中区,1,1.0,9.122
2月,山东省,潍坊市,临朐县,1,1.0,9.122
2月,山东省,聊城市,东昌府区,1,1.0,9.122
2月,山东省,青岛市,城阳区,1,1.0,9.122
2月,山东省,青岛市,莱西市,1,1.0,9.122
2月,山西省,阳泉市,城区,1,1.0,9.122
2月,广东省,深圳市,龙华区,1,1.0,9.122
2月,广西壮族自治区,柳州市,柳北区,1,1.0,9.122
2月,广西壮族自治区,柳州市,鱼峰区,1,1.0,9.122
2月,广西壮族自治区,河池市,南丹县,1,1.0,9.122
2月,广西壮族自治区,百色市,平果市,1,1.0,9.122
2月,广西壮族自治区,贵港市,平南县,1,1.0,9.122
2月,江苏省,南通市,如东县,1,1.0,9.122
2月,江苏省,徐州市,贾汪区,1,1.0,9.122
2月,江苏省,盐城市,盐都区,1,1.0,9.122
2月,江西省,南昌市,新建区,1,1.0,9.122
2月,江西省,南昌市,青山湖区,1,1.0,9.122
2月,江西省,景德镇市,乐平市,1,1.0,9.122
2月,河北省,保定市,定兴县,1,1.0,9.122
2月,河北省,保定市,涞源县,1,1.0,9.122
2月,河北省,张家口市,怀来县,1,1.0,9.122
2月,河北省,石家庄市,行唐县,1,1.0,9.122
2月,河北省,邢台市,信都区,1,1.0,9.122
2月,河南省,漯河市,召陵区,1,1.0,9.122
2月,河南省,郑州市,新郑市,1,1.0,9.122
2月,浙江省,丽水市,缙云县,1,1.0,9.122
2月,浙江省,台州市,仙居县,1,1.0,9.122
2月,湖北省,仙桃,仙桃市,1,1.0,9.122
2月,湖北省,十堰市,郧阳区,1,1.0,9.122
2月,湖北省,武汉市,青山区,1,1.0,9.122
2月,甘肃省,兰州市,安宁区,1,1.0,9.122
2月,甘肃省,平凉市,崆峒区,1,1.0,9.122
2月,福建省,南平市,邵武市,1,1.0,9.122
2月,福建省,厦门市,湖里区,1,1.0,9.122
2月,福建省,福州市,台江区,1,1.0,9.122
2月,贵州省,安顺市,镇宁布依族苗族自治县,1,1.0,9.122
2月,贵州省,遵义市,汇川区,1,1.0,9.122
2月,贵州省,铜仁市,江口县,1,1.0,9.122
2月,贵州省,黔南布依族苗族自治州,独山县,1,1.0,9.122
2月,贵州省,黔西南布依族苗族自治州,兴义市,1,1.0,9.122
2月,辽宁省,大连市,普兰店区,1,1.0,9.122
2月,陕西省,宝鸡市,岐山县,1,1.0,9.122
2月,黑龙江省,伊春市,伊春区,1,1.0,9.122
2月,黑龙江省,佳木斯市,向阳区,1,1.0,9.122
2月,天津,天津市,东丽区,1,1.0,8.72
2月,安徽省,滁州市,南谯区,1,1.0,8.72
2月,山东省,泰安市,岱岳区,1,1.0,8.72
2月,广西壮族自治区,桂林市,兴安县,1,1.0,8.72
2月,江苏省,扬州市,宝应县,1,1.0,8.72
2月,河北省,唐山市,迁西县,1,1.0,8.72
2月,河北省,衡水市,饶阳县,1,1.0,8.72
2月,浙江省,嘉兴市,南湖区,1,1.0,8.72
2月,河南省,信阳市,息县,1,1.0,8.6659
2月,浙江省,绍兴市,越城区,1,1.0,8.6659
2月,江苏省,常州市,武进区,1,1.0,8.65
2月,山东省,济南市,莱芜区,1,1.0,8.62
2月,湖北省,荆州市,松滋市,1,1.0,8.58
2月,江苏省,徐州市,丰县,1,1.0,8.51
2月,湖北省,武汉市,新洲区,1,1.0,8.51
2月,湖北省,襄阳市,老河口市,1,1.0,8.461
2月,河南省,郑州市,荥阳市,1,1.0,8.3949
2月,福建省,莆田市,荔城区,1,1.0,8.3949
2月,北京,北京市,东城区,1,1.0,8.3024
2月,江苏省,常州市,金坛区,1,1.0,8.2098
2月,河北省,保定市,徐水区,1,1.0,8.2098
2月,福建省,泉州市,石狮市,1,1.0,8.2098
2月,北京,北京市,房山区,1,1.0,8.18
2月,江苏省,盐城市,大丰区,1,1.0,8.18
2月,浙江省,杭州市,拱墅区,1,1.0,8.18
2月,浙江省,金华市,磐安县,1,1.0,8.18
2月,湖南省,永州市,东安县,1,1.0,8.18
2月,江苏省,苏州市,相城区,1,1.0,8.0314
